"from","to","type"
"P02763","P04075","io"
"P02763","P61812","io"
"P02763","P56202","io"
"P02763","Q6UXV4","io"
"P02763","P09486","io"
"P02763","P01009","io"
"P02763","P07996","io"
"P02763","P01137","io"
"P02763","Q9BX10","io"
"P02763","Q9NTK5","io"
"P02763","P00488","io"
"P02763","Q06033","io"
"P02763","P04085","io"
"P02763","P00451","io"
"P02763","P05121","io"
"P02763","O00292","io"
"P02763","Q8NBX0","io"
"P02763","P14210","io"
"P02763","P01023","io"
"P02763","P10124","io"
"P02763","Q8NBF2","io"
"P02763","Q13201","io"
"P02763","P01133","io"
"P02763","P07225","io"
"P02763","P05019","io"
"P02763","P49765","io"
"P02763","P02751","io"
"P02763","Q9UNF1","io"
"P02763","Q9NUQ9","io"
"P02763","P01127","io"
"P02763","Q08380","io"
"P02763","P19652","io"
"P02763","O00391","io"
"P02763","P05155","io"
"P02763","P29622","io"
"P02763","P10909","io"
"P02763","P01033","io"
"P02763","P04217","io"
"P02763","Q86UX7","io"
"P02763","P05452","io"
"P02763","Q13103","io"
"P02763","P02776","io"
"P02763","O43707","io"
"P02763","P05067","io"
"P02763","P62328","io"
"P02763","Q7L3B6","io"
"P02763","P02765","io"
"P02763","Q16610","io"
"P02763","P01042","io"
"P02763","P49767","io"
"P02763","P08697","io"
"P02763","P02671","io"
"P02763","P04196","io"
"P02763","Q9Y6I9","io"
"P02763","P02749","io"
"P02763","P35609","io"
"P02763","Q9UEU0","io"
"P02763","P00747","io"
"P02763","P35625","io"
"P02763","P01344","io"
"P02763","P49908","io"
"P02763","Q92520","io"
"P02763","Q8NBM8","io"
"P02763","Q14393","io"
"P02763","P02675","io"
"P02763","P15692","io"
"P02763","P00746","io"
"P02763","Q9NXH8","io"
"P02763","Q99969","io"
"P02763","P01011","io"
"P02763","O14498","io"
"Q2M2I8","Q9Y6I3","io"
"Q2M2I8","P41221","io"
"Q2M2I8","Q05193","io"
"Q2M2I8","O95782","io"
"Q2M2I8","P13569","io"
"Q2M2I8","P00533","io"
"Q2M2I8","P01730","io"
"Q2M2I8","Q8WXE9","io"
"Q2M2I8","Q15642","io"
"Q2M2I8","P61160","io"
"Q2M2I8","P22681","io"
"Q2M2I8","P51809","io"
"Q2M2I8","P32121","io"
"Q2M2I8","P07550","io"
"Q2M2I8","P20645","io"
"Q2M2I8","P02787","io"
"Q2M2I8","Q9Y6Q2","io"
"Q2M2I8","O43493","io"
"Q2M2I8","Q92783","io"
"Q2M2I8","Q96CW1","io"
"Q2M2I8","P0CG48","io"
"Q2M2I8","Q9ULV1","io"
"Q2M2I8","P63027","io"
"Q2M2I8","Q8NC96","io"
"Q2M2I8","Q9Y5X1","io"
"Q2M2I8","O00499","io"
"Q2M2I8","P09693","io"
"Q2M2I8","O75886","io"
"Q2M2I8","Q9BY11","io"
"Q2M2I8","P04234","io"
"Q2M2I8","P60709","io"
"Q2M2I8","P01185","io"
"Q2M2I8","P63261","io"
"Q2M2I8","Q9BT88","io"
"Q2M2I8","O75146","io"
"Q2M2I8","P04114","io"
"Q2M2I8","O15056","io"
"Q2M2I8","O14964","io"
"Q2M2I8","P53680","io"
"Q2M2I8","Q8N9I0","io"
"Q2M2I8","P49418","io"
"Q2M2I8","Q15836","io"
"Q2M2I8","P02786","io"
"Q2M2I8","O75379","io"
"Q2M2I8","P53675","io"
"Q2M2I8","O15145","io"
"Q2M2I8","Q86SS6","io"
"Q2M2I8","P08172","io"
"Q2M2I8","Q99963","io"
"Q2M2I8","O43426","io"
"Q2M2I8","Q99962","io"
"Q2M2I8","P25103","io"
"Q2M2I8","P09496","io"
"Q2M2I8","Q96B97","io"
"Q2M2I8","P59998","io"
"Q2M2I8","O00401","io"
"Q2M2I8","Q9UQ16","io"
"Q2M2I8","Q96RU3","io"
"Q2M2I8","P30518","io"
"Q2M2I8","P09497","io"
"Q2M2I8","P0CG47","io"
"Q2M2I8","Q01968","io"
"Q2M2I8","Q5T0N5","io"
"Q2M2I8","Q00610","io"
"Q2M2I8","Q96D71","io"
"Q2M2I8","Q9NY64","io"
"Q2M2I8","P98082","io"
"Q2M2I8","P42566","io"
"Q2M2I8","Q92747","io"
"Q2M2I8","P01133","io"
"Q2M2I8","P62993","io"
"Q2M2I8","P01130","io"
"Q2M2I8","Q9UNF0","io"
"Q2M2I8","Q14247","io"
"Q2M2I8","P11717","io"
"Q2M2I8","P61158","io"
"Q2M2I8","Q5VV43","io"
"Q2M2I8","Q8NFH8","io"
"Q2M2I8","O94973","io"
"Q2M2I8","P30556","io"
"Q2M2I8","Q9BQI5","io"
"Q2M2I8","Q9UKS6","io"
"Q2M2I8","Q9NZM3","io"
"Q2M2I8","Q9NVZ3","io"
"Q2M2I8","O15144","io"
"Q2M2I8","P49407","io"
"Q2M2I8","Q5SW96","io"
"Q2M2I8","Q99961","io"
"Q2M2I8","Q9UBC2","io"
"Q2M2I8","O14976","io"
"Q2M2I8","Q14108","io"
"Q2M2I8","P21579","io"
"Q2M2I8","Q16572","io"
"Q2M2I8","P11142","io"
"Q2M2I8","Q9BV40","io"
"Q2M2I8","Q13492","io"
"Q2M2I8","O75061","io"
"Q2M2I8","Q15811","io"
"Q2M2I8","Q8NBV8","io"
"Q2M2I8","O95208","io"
"Q2M2I8","P62979","io"
"Q2M2I8","Q96RF0","io"
"Q2M2I8","O15511","io"
"Q2M2I8","P98164","io"
"Q2M2I8","P62987","io"
"Q2M2I8","O00291","io"
"Q2M2I8","P52594","io"
"Q2M2I8","O14641","io"
"Q2M2I8","O60641","io"
"Q2M2I8","P63010","io"
"Q2M2I8","P50570","io"
"O43707","P02675","io"
"O43707","Q6UXV4","io"
"O43707","P01033","io"
"O43707","P04275","io"
"O43707","P07996","io"
"O43707","Q13103","io"
"O43707","Q9NTK5","io"
"O43707","Q9UNF1","io"
"O43707","P05155","io"
"O43707","Q9NXH8","io"
"O43707","P01009","io"
"O43707","P10124","io"
"O43707","P15692","io"
"O43707","P05452","io"
"O43707","P01011","io"
"O43707","P01133","io"
"O43707","P04217","io"
"O43707","P01023","io"
"O43707","P02671","io"
"O43707","Q14624","io"
"O43707","Q14393","io"
"O43707","P35625","io"
"O43707","P02775","io"
"O43707","Q9Y6I9","io"
"O43707","O00391","io"
"O43707","Q16610","io"
"O43707","Q9BX10","io"
"O43707","P04085","io"
"O43707","Q9NUQ9","io"
"O43707","Q86UX7","io"
"O43707","Q9UEU0","io"
"O43707","P01127","io"
"O43707","P00451","io"
"O43707","P49765","io"
"O43707","Q99969","io"
"O43707","P62328","io"
"O43707","P08697","io"
"O43707","P49908","io"
"O43707","P07225","io"
"O43707","P49767","io"
"O43707","P01344","io"
"O43707","Q8NBF2","io"
"O43707","P14210","io"
"O43707","P02679","io"
"O43707","O43915","io"
"O43707","P00746","io"
"O43707","P01137","io"
"O43707","P02776","io"
"O43707","P02749","io"
"O43707","P12814","io"
"O43707","Q08380","io"
"O43707","P05019","io"
"O43707","P10600","io"
"O43707","Q7L3B6","io"
"O43707","P12259","io"
"O43707","Q06033","io"
"O43707","P19652","io"
"O43707","P09486","io"
"O43707","O00292","io"
"O43707","P01042","io"
"O43707","P02765","io"
"O43707","P35609","io"
"O43707","P04075","io"
"O43707","P05067","io"
"O43707","O14498","io"
"O43707","P00488","io"
"O43707","P10909","io"
"O43707","P29622","io"
"O43707","P00747","io"
"O43707","P02763","io"
"O43707","P56202","io"
"O43707","P61812","io"
"O43707","P02768","io"
"O43707","Q13201","io"
"O43707","Q92520","io"
"O43707","P02751","io"
"O43707","Q8NBM8","io"
"O43707","Q8NBX0","io"
"O43707","P05121","io"
"O43707","P04196","io"
"P08172","Q00610","io"
"P08172","P09693","io"
"P08172","Q15642","io"
"P08172","Q92783","io"
"P08172","Q86SS6","io"
"P08172","P22681","io"
"P08172","P11142","io"
"P08172","P63261","io"
"P08172","P62987","io"
"P08172","Q5VV43","io"
"P08172","P0CG47","io"
"P08172","Q92747","io"
"P08172","Q99961","io"
"P08172","Q14108","io"
"P08172","Q9UBC2","io"
"P08172","Q8NC96","io"
"P08172","P59998","io"
"P08172","Q8NBV8","io"
"P08172","Q5SW96","io"
"P08172","Q9NY64","io"
"P08172","O00291","io"
"P08172","O15056","io"
"P08172","Q2M2I8","io"
"P08172","Q9Y6Q2","io"
"P08172","P11717","io"
"P08172","Q9Y6I3","io"
"P08172","O43493","io"
"P08172","O75886","io"
"P08172","P50570","io"
"P08172","P42566","io"
"P08172","O14641","io"
"P08172","P07550","io"
"P08172","P60709","io"
"P08172","Q05193","io"
"P08172","Q96B97","io"
"P08172","Q9NZM3","io"
"P08172","O95782","io"
"P08172","Q96D71","io"
"P08172","P41221","io"
"P08172","P51809","io"
"P08172","P63010","io"
"P08172","P61160","io"
"P08172","P04114","io"
"P08172","P02787","io"
"P08172","Q13492","io"
"P08172","Q9ULV1","io"
"P08172","O43426","io"
"P08172","P00533","io"
"P08172","P30518","io"
"P08172","Q01968","io"
"P08172","Q96CW1","io"
"P08172","P53680","io"
"P08172","O75061","io"
"P08172","O94973","io"
"P08172","P09496","io"
"P08172","Q9BT88","io"
"P08172","P61158","io"
"P08172","Q9UNF0","io"
"P08172","O14964","io"
"P08172","Q16572","io"
"P08172","Q9BV40","io"
"P08172","P01130","io"
"P08172","P04234","io"
"P08172","O15145","io"
"P08172","O00401","io"
"P08172","Q8NFH8","io"
"P08172","P62993","io"
"P08172","P49418","io"
"P08172","P49407","io"
"P08172","Q96RF0","io"
"P08172","Q9UQ16","io"
"P08172","Q9UKS6","io"
"P08172","O95208","io"
"P08172","Q5T0N5","io"
"P08172","P02786","io"
"P08172","P01133","io"
"P08172","P01730","io"
"P08172","O00499","io"
"P08172","P01185","io"
"P08172","Q8WXE9","io"
"P08172","Q9BQI5","io"
"P08172","O15144","io"
"P08172","Q96RU3","io"
"P08172","P25103","io"
"P08172","Q9Y5X1","io"
"P08172","P30556","io"
"P08172","P0CG48","io"
"P08172","Q9BY11","io"
"P08172","Q8N9I0","io"
"P08172","P53675","io"
"P08172","P52594","io"
"P08172","Q99962","io"
"P08172","O75146","io"
"P08172","P32121","io"
"P08172","Q14247","io"
"P08172","P20645","io"
"P08172","Q9NVZ3","io"
"P08172","Q15836","io"
"P08172","P09497","io"
"P08172","P98082","io"
"P08172","Q15811","io"
"P08172","O75379","io"
"P08172","O60641","io"
"P08172","O15511","io"
"P08172","P62979","io"
"P08172","P13569","io"
"P08172","P98164","io"
"P08172","O14976","io"
"P08172","P21579","io"
"P08172","P63027","io"
"P08172","Q99963","io"
"P07550","Q05193","io"
"P07550","P02786","io"
"P07550","P08172","io"
"P07550","O94973","io"
"P07550","P51809","io"
"P07550","Q9NZM3","io"
"P07550","O60641","io"
"P07550","Q92783","io"
"P07550","P25103","io"
"P07550","O43426","io"
"P07550","Q15836","io"
"P07550","O75886","io"
"P07550","Q01968","io"
"P07550","Q8NBV8","io"
"P07550","Q8NC96","io"
"P07550","Q96RF0","io"
"P07550","P22681","io"
"P07550","Q9BY11","io"
"P07550","Q9ULV1","io"
"P07550","P63027","io"
"P07550","Q2M2I8","io"
"P07550","Q9UBC2","io"
"P07550","P61160","io"
"P07550","P62979","io"
"P07550","P09693","io"
"P07550","Q15642","io"
"P07550","O15511","io"
"P07550","P61158","io"
"P07550","Q16572","io"
"P07550","Q96B97","io"
"P07550","P0CG47","io"
"P07550","Q99962","io"
"P07550","Q5T0N5","io"
"P07550","Q14247","io"
"P07550","P30556","io"
"P07550","Q8N9I0","io"
"P07550","O00401","io"
"P07550","Q9BT88","io"
"P07550","O75379","io"
"P07550","Q14108","io"
"P07550","Q92747","io"
"P07550","Q96D71","io"
"P07550","P01130","io"
"P07550","P98164","io"
"P07550","P30518","io"
"P07550","O15145","io"
"P07550","Q8NFH8","io"
"P07550","Q9Y6Q2","io"
"P07550","Q9UQ16","io"
"P07550","P11717","io"
"P07550","Q9UNF0","io"
"P07550","P01133","io"
"P07550","Q9Y6I3","io"
"P07550","P13569","io"
"P07550","Q00610","io"
"P07550","O00291","io"
"P07550","P09496","io"
"P07550","P21579","io"
"P07550","P63010","io"
"P07550","Q86SS6","io"
"P07550","P53675","io"
"P07550","Q5VV43","io"
"P07550","P32121","io"
"P07550","Q9UKS6","io"
"P07550","P41221","io"
"P07550","P49407","io"
"P07550","P0CG48","io"
"P07550","P59998","io"
"P07550","P01730","io"
"P07550","O75146","io"
"P07550","Q13492","io"
"P07550","Q15811","io"
"P07550","P20645","io"
"P07550","O14641","io"
"P07550","Q96CW1","io"
"P07550","O15144","io"
"P07550","P63261","io"
"P07550","O15056","io"
"P07550","Q9BV40","io"
"P07550","O14976","io"
"P07550","Q99961","io"
